ID,absolute_clone_path,local_clone_path,source
RCPRG-ros-pkg/elektron_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/RCPRG-ros-pkg_____elektron_robot,./cloned_repos/RCPRG-ros-pkg_____elektron_robot,github
redbirdrobotics/ros_redbird_m7a,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/redbirdrobotics_____ros_redbird_m7a,./cloned_repos/redbirdrobotics_____ros_redbird_m7a,github
ridgeback/ridgeback,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ridgeback_____ridgeback,./cloned_repos/ridgeback_____ridgeback,github
ridgeback/ridgeback_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ridgeback_____ridgeback_robot,./cloned_repos/ridgeback_____ridgeback_robot,github
RightHandRobotics/reflex-ros-pkg,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/RightHandRobotics_____reflex-ros-pkg,./cloned_repos/RightHandRobotics_____reflex-ros-pkg,github
RIVeR-Lab/wpi_jaco,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/RIVeR-Lab_____wpi_jaco,./cloned_repos/RIVeR-Lab_____wpi_jaco,github
roadnarrows-robotics/hekateros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/roadnarrows-robotics_____hekateros,./cloned_repos/roadnarrows-robotics_____hekateros,github
robotics-upo/upo_robot_navigation,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/robotics-upo_____upo_robot_navigation,./cloned_repos/robotics-upo_____upo_robot_navigation,github
ros-aldebaran/romeo_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-aldebaran_____romeo_robot,./cloned_repos/ros-aldebaran_____romeo_robot,github
ros-controls/ros_controllers,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-controls_____ros_controllers,./cloned_repos/ros-controls_____ros_controllers,github
ros-drivers/audio_common,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-drivers_____audio_common,./cloned_repos/ros-drivers_____audio_common,github
ros-industrial-consortium/descartes,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial-consortium_____descartes,./cloned_repos/ros-industrial-consortium_____descartes,github
ros-industrial-consortium/trajopt_ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial-consortium_____trajopt_ros,./cloned_repos/ros-industrial-consortium_____trajopt_ros,github
ros-industrial/abb,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____abb,./cloned_repos/ros-industrial_____abb,github
ros-industrial/abb_experimental,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____abb_experimental,./cloned_repos/ros-industrial_____abb_experimental,github
ros-industrial/fanuc,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____fanuc,./cloned_repos/ros-industrial_____fanuc,github
ros-industrial/fanuc_experimental,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____fanuc_experimental,./cloned_repos/ros-industrial_____fanuc_experimental,github
ros-industrial/industrial_core,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____industrial_core,./cloned_repos/ros-industrial_____industrial_core,github
ros-industrial/industrial_moveit,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____industrial_moveit,./cloned_repos/ros-industrial_____industrial_moveit,github
ros-industrial/kuka_experimental,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____kuka_experimental,./cloned_repos/ros-industrial_____kuka_experimental,github
ros-industrial/motoman,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____motoman,./cloned_repos/ros-industrial_____motoman,github
